연번,자치구,센터명,소재지도로명주소,센터장,현원,정원,종사자,전화번호,데이터기준일자
214,북구,탈무드,"광주광역시 광주광역시 북구 양산제로 25 (양산동, 2층)",김금숙,38,40,3,062-574-2919,2024-01-15
215,북구,토마토,"광주광역시 광주광역시 북구 면앙로 30, 2층 (용봉동)",김은미,24,28,2,062-252-3366,2024-01-15
216,북구,틔움,"광주광역시 광주광역시 북구 하서로 357, 3층 (양산동)",정미리,18,19,2,062-572-5725,2024-01-15
217,북구,푸른꿈,"광주광역시 광주광역시 북구 서방로172번길 10-7, 2층 (두암동)",최혜숙,23,29,2,062-529-4558,2024-01-15
218,북구,푸른샘,"광주광역시 광주광역시 북구 동림용산로31(동림동 1153-1, 2층)",주옥자,32,33,3,070-7760-5491,2024-01-15
219,북구,풍향,"광주광역시 광주광역시 북구 두방길 1-1, 1층 (풍향동)",이선미,17,19,2,062-515-8209,2024-01-15
220,북구,하버드,광주광역시 광주광역시 북구 북문대로159번길 53-12 (운암동),강승희,22,25,2,062-512-4453,2024-01-15
221,북구,한마음,"광주광역시 광주광역시 북구 유림로 175 (동림동, 삼익상가 2층 201호)",이재정,22,29,2,062-513-9889,2024-01-15
222,북구,한양,"광주광역시 광주광역시 북구 반룡로42번길 1, 3층 (용봉동)",양병규,19,19,2,062-528-9002,2024-01-15
223,북구,해달별,광주광역시 광주광역시 북구 서방로51번길 46 (우산동),이은정,17,19,2,062-265-7009,2024-01-15
224,북구,햇빛,"광주광역시 광주광역시 북구 임방울대로1041번길 6, 303호 (용두동, 양산타운아파트 상가동)",이창미,24,25,2,062-571-0156,2024-01-15
225,북구,행복한,"광주광역시 광주광역시 북구 설죽로389번길 71, 1층 (삼각동)",김세현,29,29,2,062-574-5558,2024-01-15
226,북구,행운,광주광역시 광주광역시 북구 동운로 217-9 (운암동),박혜경,18,19,2,062-529-3046,2024-01-15
227,북구,현대,"광주광역시 광주광역시 북구 양산택지로 34번길 26, 201호(양산동)",김세희,15,19,2,062-514-7755,2024-01-15
228,북구,호르트,광주광역시 광주광역시 북구 삼정로120번길 23 (두암동),김승민,36,39,3,062-264-4875,2024-01-15
229,북구,희망,"광주광역시 광주광역시 북구 중흥로163번길 2, 2층 (중흥동)",윤은희,18,19,2,070-4235-7991,2024-01-15
230,광산구,광산누리지역아동센터,"광주광역시 소촌로46번길 3-2, 1층",천혜린,18,19,2,062-945-1105,2024-01-15
231,광산구,광산지역아동센터,"광주광역시 송도로 143, 2층",김도경,25,29,2,062-942-8209,2024-01-15
232,광산구,글로벌지역아동센터,"광주광역시 첨단내촌로36번길 26, 201호",손이숙,25,29,2,062-972-0675,2024-01-15
233,광산구,꿈나무지역아동센터,"광주광역시 우산로 47, 리버힐아파트 상가동 302-1호",김현희,28,29,2,062-941-2524,2024-01-15
234,광산구,꿈누리지역아동센터,"광주광역시 송도로320번길 16-15, 명지아파트 상가 212동 4층 2호",송윤덕,33,37,3,062-946-1030,2024-01-15
235,광산구,늘기쁜지역아동센터,"광주광역시 장신로265번길 22, 112동 102호",한채영,18,19,2,070-7518-6503,2024-01-15
236,광산구,늘사랑지역아동센터,"광주광역시 용진로 382-7, 2층",이광선,18,19,2,070-7779-6602,2024-01-15
237,광산구,늘조은지역아동센터,광주광역시 사암로24번길 60-10,류제곤,18,19,2,062-943-2232,2024-01-15
238,광산구,도토리지역아동센터,"광주광역시 어등대로648번길 146, 2층",조윤희,18,19,2,062-943-7179,2024-01-15
239,광산구,디딤돌지역아동센터,"광주광역시 송도로 348, 2층",장은미,32,36,3,062-941-0888,2024-01-15
240,광산구,로뎀지역아동센터,"광주광역시 월곡산정로 96-21, 한성2차아파트 206동 204호",권금자,19,19,2,062-951-1439,2024-01-15
241,광산구,명문지역아동센터,"광주광역시 소촌로86번길 17, 2층",허은숙,18,19,2,062-942-9427,2024-01-15
242,광산구,모아지역아동센터,광주광역시 산정공원로28번길 7-11,장희정,19,19,2,062-955-8291,2024-01-15
243,광산구,목련지역아동센터,"광주광역시 목련로219번길 85, 2층",박희경,34,34,3,062-955-8150,2024-01-15
244,광산구,무지개지역아동센터,광주광역시 송도로 215-9,박윤아,17,19,2,070-7590-0598,2024-01-15
245,광산구,미래지역아동센터,"광주광역시 월곡산정로 85, 2층",정혜정,28,29,2,062-951-6788,2024-01-15
246,광산구,미소지역아동센터,"광주광역시 소촌로86번길 20-17, 대성베르힐아파트 101동 101호",장다혜,18,19,2,062-944-3256,2024-01-15
247,광산구,미주지역아동센터,"광주광역시 어등대로665번길 9, 4층",유순,25,29,2,062-434-3939,2024-01-15
248,광산구,바람개비꿈터공립지역아동센터,광주광역시 산정공원로28번길 41,이지현,36,40,3,062-955-6748,2024-01-15
249,광산구,반딧불이지역아동센터,"광주광역시 왕버들로252번길 46, 101동",박지영,29,29,2,062-954-5025,2024-01-15
250,광산구,밝은별지역아동센터,"광주광역시 남동길 12, 2층",장금희,25,25,2,062-431-7673,2024-01-15
251,광산구,베스트지역아동센터,"광주광역시 신가삼효로 2-6, 3층",서미경,28,29,2,062-962-3199,2024-01-15
252,광산구,보배지역아동센터,광주광역시 월계로34번길 14-20,김창숙,35,35,3,062-471-1885,2024-01-15
253,광산구,비아미래지역아동센터,광주광역시 비아안길 113-6,박소향,24,25,2,062-710-1163,2024-01-15
254,광산구,비젼지역아동센터,광주광역시 신가삼효로 22-12,김경미,19,19,2,062-955-3576,2024-01-15
255,광산구,빛과소금지역아동센터,"광주광역시 사암로158번길 46-5, 2층(우산동)",박미숙,34,35,3,062-954-9595,2024-01-15
256,광산구,새빛지역아동센터,광주광역시 용보로 21,김태희,34,34,3,062-432-2936,2024-01-15
257,광산구,새싹지역아동센터,광주광역시 우산로95번길 57-13,최정원,26,29,2,062-943-5004,2024-01-15
258,광산구,서송지역아동센터,"광주광역시 월곡중앙로13번길 8-17, 2층",신미연,16,19,2,062-951-0037,2024-01-15
259,광산구,선운푸르름공립지역아동센터,"광주광역시 선운로2번길 40, 2층",지경아,25,26,2,062-944-5553,2024-01-15
260,광산구,세움지역아동센터,"광주광역시 하남대로54번안길 23, 1층",김경순,25,29,2,062-952-2234,2024-01-15
261,광산구,송광지역아동센터,"광주광역시 우산로 17, 송광복지관 3층",박명숙,19,19,2,062-946-8248,2024-01-15
262,광산구,수완숲지역아동센터,"광주광역시 장덕로40번길 36, 2층",전순자,25,41,3,062-956-0175,2024-01-15
263,광산구,수완지역아동센터,"광주광역시 풍영로330번길 34, 신안실크밸리아파트 102동 1층 2호",김미란,38,29,2,062-955-0031,2024-01-15
264,광산구,신완마을지역아동센터,"광주광역시 풍영로329번길 50, 신완마을휴먼시아7단지아파트 주민공동시설 2층",김이량,32,33,3,062-961-2100,2024-01-15
265,광산구,아름드리지역아동센터,"광주광역시 송정로8번길 66, 2층",이진,10,19,2,062-942-7510,2024-01-15
266,광산구,아리솔지역아동센터,"광주광역시 송정외로 2, 2층",민경재,28,29,2,062-363-5599,2024-01-15
267,광산구,아이조아홈스쿨지역아동센터,광주광역시 도산로12번길 17-51,윤정희,23,29,2,062-671-6236,2024-01-15
268,광산구,어깨동무지역아동센터,"광주광역시 월계로 68, 302호",박현옥,19,19,2,062-452-1087,2024-01-15
269,광산구,어등지역아동센터,광주광역시 우산로95번길 29,손정란,33,49,3,062-942-6004,2024-01-15
270,광산구,여진지역아동센터,"광주광역시 하남대로 321, 2층",최영주,17,19,2,062-955-9368,2024-01-15
271,광산구,염광지역아동센터,"광주광역시 월곡로 26, 2층",방선숙,24,25,2,062-953-1684,2024-01-15
272,광산구,온세계지역아동센터,"광주광역시 수등로258번길 32, 302호(신가동,기안빌딩)",나오미,15,19,2,062-961-7005,2024-01-15
273,광산구,용아지역아동센터,"광주광역시 송정공원로23번길 18-18, 2층",정명자,24,29,2,062-944-8813,2024-01-15
274,광산구,우등지역아동센터,광주광역시 산정로6번길 21-15,박정연,17,19,2,062-432-6007,2024-01-15
275,광산구,월계지역아동센터,"광주광역시 월계로 117-22, 첨단두산2차아파트 202동 103호",신미숙,19,19,2,062-973-3720,2024-01-15
276,광산구,월곡사랑지역아동센터,광주광역시 산정공원로 14-1,정선희,33,19,2,070-7539-8084,2024-01-15
277,광산구,월곡지역아동센터,"광주광역시 월곡중앙로2번길 10, 2층",조혜민,17,19,3,062-432-6150,2024-01-15
278,광산구,은혜지역아동센터,"광주광역시 송도로162번길 10-15, 2층",김영진,18,19,2,062-944-1691,2024-01-15
279,광산구,작은별지역아동센터,"광주광역시 월계로130번길 29, 1층(월계동)",오수진,25,26,2,062-971-1625,2024-01-15
280,광산구,조은지역아동센터,"광주광역시 비아안길 45-2, 2층",박현자,25,27,2,062-954-3364,2024-01-15
281,광산구,즐거운지역아동센터,"광주광역시 사암로215번길 27, 2층",이정숙,31,49,3,062-953-0675,2024-01-15
282,광산구,창조지역아동센터,"광주광역시 임방울대로 142-12, 삼성아파트 107동 104호",이현숙,19,19,2,062-417-0480,2024-01-15
283,광산구,첨단지역아동센터,광주광역시 첨단내촌로57번길 14-6,김혜연,20,25,2,062-971-6007,2024-01-15
284,광산구,청마루지역아동센터,"광주광역시 비아로62번길 12, 3층",박정규,40,49,3,062-955-0726,2024-01-15
285,광산구,큰별지역아동센터,"광주광역시 하남대로261번길 14, 201호",여강월,17,19,2,062-953-5324,2024-01-15
286,광산구,큰숲지역아동센터,"광주광역시 임방울대로165번길 69-3, 4층",박성숙,33,35,3,062-951-3696,2024-01-15
287,광산구,포도나무지역아동센터,"광주광역시 수등로258번길 46, 2층(신창동,해광샹그릴라아파트상가)",강미순,17,19,2,062-373-7387,2024-01-15
288,광산구,푸른솔지역아동센터,광주광역시 수등로258번길 20-10,김미화,19,19,2,062-372-9190,2024-01-15
289,광산구,하나교육문화지역아동센터,광주광역시 산정로6번길 21-11,오행숙,25,25,2,062-953-0284,2024-01-15
290,광산구,하남2지구지역아동센터,"광주광역시 하남대로 30, 부영사랑으로 309동 401호",최보라,16,19,2,062-417-4561,2024-01-15
291,광산구,하남공립지역아동센터,"광주광역시 월곡산정로 12, 하남복지관 3층",신은철,31,35,3,062-954-0104,2024-01-15
292,광산구,한별지역아동센터,"광주광역시 사암로27번길 55, 3층",추혜경,25,29,2,062-946-0030,2024-01-15
293,광산구,한아름지역아동센터,광주광역시 신도산길 54,심춘남,35,36,3,062-944-1354,2024-01-15
294,광산구,해돋이지역아동센터,광주광역시 수완로11번안길 28,이경주,33,35,3,062-955-8428,2024-01-15
295,광산구,해바라기지역아동센터,"광주광역시 소촌로152번길 5, 상가동 208-201호",유근례,30,31,3,062-944-8004,2024-01-15
296,광산구,해오름지역아동센터,"광주광역시 송도로 210, 2층",강성자,17,19,2,062-944-4309,2024-01-15
297,광산구,해피존멘토지역아동센터,"광주광역시 목련로394번길 40-7, 3층",한영석,18,19,2,070-7736-1044,2024-01-15
298,광산구,행복나눔지역아동센터,"광주광역시 목련로21번길 45, 다사로움1단지 관리사무소 2층",김명옥,30,32,3,062-962-3671,2024-01-15
299,광산구,희망나눔지역아동센터,"광주광역시 월곡반월로 26, 2층",김영주,29,29,2,062-413-3425,2024-01-15
