연번,시군명,대상자별,시설유형,시설명,시설장,운영주체,대표자,소재지,연락처,종사자수,일일평균_이용자 수
198,문경시,아동,지역아동센터,조은나무지역아동센터,김정회,개인,김정회,문경시 중앙로 221-7(흥덕동),054-556-7979,3,39
199,문경시,아동,지역아동센터,신기지역아동센터,송은경,개인,박병배,문경시 신기3길 1,054-553-2543,2,16
200,경산시,아동,지역아동센터,진량지역아동센터,권미자,개인,신정희,경산시 진량읍 공단1로 37,054-854-9392,2,29
201,경산시,아동,지역아동센터,경산지역아동센터,박미향,개인,최승호,경산시 원효로 28길 32(계양동),054-818-8800,3,39
202,경산시,아동,지역아동센터,아가페지역아동센터,이병구,개인,이세국,경산시 중앙초등길 63 (중방동),054-814-4780,3,41
203,경산시,아동,지역아동센터,대천행복한홈스쿨,이정림,법인,유원식,경산시 성암로21길 43(옥산동),054-811-3820,2,29
204,경산시,아동,지역아동센터,예일행복한홈스쿨,유경숙,법인,유원식,"경산시 남매로 4길 13-12(상방동,태성아파트상가2층)",054-811-7143,2,29
205,경산시,아동,지역아동센터,한사지역아동센터,정은희,법인,진창섭,경산시 하양읍 교리길 26,054-854-0730,3,39
206,경산시,아동,지역아동센터,경동행복한홈스쿨,신배전,법인,유원식,경산시 남산면 경리길 28-1,054-856-7943,2,19
207,경산시,아동,지역아동센터,초원지역아동센터,서예환,개인,서예환,경산시 진량읍 문천길 47,054-854-7027,2,29
208,경산시,아동,지역아동센터,참사랑나눔터,박경미,개인,박대성,"경산시 자인면 북사로3길 3, 2층",054-851-7935,2,29
209,경산시,아동,지역아동센터,헤세드지역아동센터,장정매,개인,전철곤,경산시 압량면 부적길 22,054-817-3350,2,29
210,경산시,아동,지역아동센터,1318해피존경산들꽃,김은선,개인,최승호,경산시 경안로 39길31(중방동),054-246-9512,2,19
211,경산시,아동,지역아동센터,용성지역아동센터,이경용,개인,이경용,경산시 용성면 구룡로 3-1,070-8814-6616,2,19
212,경산시,아동,지역아동센터,남천지역아동센터,석길복,개인,권팔식,경산시 경청로 218길 10,054-811-2168,2,19
213,경산시,아동,지역아동센터,금락지역아동센터,심성진,개인,심성진,경산시 하양읍 대학로296길19-7,054-853-2280,2,29
214,경산시,아동,지역아동센터,황제지역아동센터,이정헌,개인,이정헌,경산시 진량읍 황제1길 86-31,054-851-1579,3,39
215,경산시,아동,지역아동센터,해피스쿨지역아동센터,장윤정,개인,이성일,경산로 16길2-7 (옥곡동),054-813-5545,2,29
216,경산시,아동,지역아동센터,봉황지역아동센터,김용태,개인,김용태,경산시 진량읍 봉황길 72(삼주4차 복지관2층),054-857-0021,3,39
217,경산시,아동,지역아동센터,사동지역아동센터,박지영,개인,박지영,"경산시 백양로181(사동,부영근린상가 203호)",054-801-5912,2,19
218,경산시,아동,지역아동센터,윤성지역아동센터,정기학,개인,정기학,경산시 진량읍 선화로20길 23,054-853-3336,2,19
219,경산시,아동,지역아동센터,장산지역아동센터,강선희,개인,강선희,경산시 성암로12길 40-15,054-812-0852,2,29
220,경산시,아동,지역아동센터,느티나무지역아동센터,김은영,개인,김은영,경산시 하양읍 하양로 171,070-7617-5735,2,19
221,경산시,아동,지역아동센터,성암지역아동센터,정경숙,개인,정경숙,경산시 성암로5길1-10(3층)_(옥산동),054-818-0061,2,19
222,군위군,아동,지역아동센터,군위지역아동센터,정영애,법인,황춘광,군위군 군위읍 군청로 49-38,054-383-5793,3,30
223,군위군,아동,지역아동센터,꿈밭지역아동센터,이병주,개인,이병주,군위군 소보면 송백로 1411,054-382-6523,2,16
224,군위군,아동,지역아동센터,옹달샘지역아동센터,이지안,개인,이두희,군위군 군위읍 중앙2길 8-21,054-382-5579,2,16
225,의성군,아동,지역아동센터,구세군도리원지역아동센터,양승웅,법인,박종덕,의성군 봉양면 도리원6길 13-1,054-832-2756,3,36
226,의성군,아동,지역아동센터,안계지역아동센터,김영미,법인,박지혁,의성군 안계면 용기11길 20,054-861-1212,2,29
227,의성군,아동,지역아동센터,의성지역아동센터,김옥희,개인,김옥희,의성군 의성읍 문소2길 62,054-833-3649,2,25
228,의성군,아동,지역아동센터,햇빛지역아동센터,김정해,법인,박지혁,의성군 의성읍 중리길 20,054-833-2903,2,19
229,의성군,아동,지역아동센터,좋은이웃지역아동센터,민지환,개인,민지환,의성군 의성읍 문소2길 49-1,054-834-0713,2,19
230,의성군,아동,지역아동센터,포도나무지역아동센터,이경희,개인,김현진,의성군 금성면 탑리길 88,054-834-1245,3,35
231,의성군,아동,지역아동센터,탑리지역아동센터,남미정,개인,남미정,의성군 금성면 탑리길 60,054-834-6603,2,19
232,청송군,아동,지역아동센터,현서키즈지역아동센터,강영미,공립형,,청송군 현서면 구덕길 6-11,054-872-9956,3,46
233,청송군,아동,지역아동센터,사과나무지역아동센터,강영미,공립형,,청송군 안덕면 노하길 19-5,054-872-6900,3,46
234,영양군,아동,지역아동센터,사동지역아동센터,전현욱,법인,전현욱,영양군 청기면 골기포길 20-4,054-682-7012,2,17
235,영양군,아동,지역아동센터,석보지역아동센터,우순홍,개인,우순홍,영양군 석보면 원리3길 3-2,054-682-5757,2,39
236,영양군,아동,지역아동센터,영양군공립형지역아동센터,김경미,공립형,,영양군 영양읍 바들양지1길 42,054-683-9999,3,30
237,영덕군,아동,지역아동센터,열린지역아동센터,조황제,법인,이철,영덕군 영덕읍 남석리 55-1,054-732-7302,2,29
238,영덕군,아동,지역아동센터,꿈이자라는지역아동센터,오상열,개인,오상열,영덕군 강구면 나비산길 22-4,054-734-1319,2,27
239,영덕군,아동,지역아동센터,새싹지역아동센터,김지영,법인,이희원,영덕군 영해면 318만세길 147,054-732-0105,2,19
240,영덕군,아동,지역아동센터,영해푸른꿈지역아동센터,정희정,공립형,영덕군,영덕군 영해면 벌영2길 8-2,054-732-0550,2,27
241,청도군,아동,지역아동센터,본원지역아동센터,염정애,법인,김영식,청도군 청도읍 청화로 147,054-371-2556,2,24
242,청도군,아동,지역아동센터,사랑ZONE아동센터,박봉숙,개인,"박순정, 이재술","청도군 화양읍 한내길 27-9, 하얀마을 102-205",054-373-9025,2,12
243,고령군,아동,지역아동센터,늘사랑지역아동센터,강명훈,개인,강명훈,고령군 대가야읍 벽화길 40,054-955-9022,3,40
244,고령군,아동,지역아동센터,대가야지역아동센터,박문식,개인,박문식, 고령군 대가야읍 덕경길 24-3,054-955-7052,2,17
245,고령군,아동,지역아동센터,미레어린이지역아동센터,박선아,법인,박선아, 고령군 대가야읍 시장길 7-1,054-954-1447,2,19
246,고령군,아동,지역아동센터,다산지역아동센터,전정애,개인,전정애,고령군 다산면 송곡1길 15_금류상가 203호,054-955-3266,2,19
247,고령군,아동,지역아동센터,하나지역아동센터,이숙희,개인,이숙희,고령군 대가야읍 대가야로 1533_해동디오펠리스 상가동2층,054-954-3996,2,23
248,성주군,아동,지역아동센터,성주지역아동센터,박옥연,개인,박옥연,성주군 성주읍 성주로 3267,054-931-8018,3,38
249,성주군,아동,지역아동센터,그루터기지역아동센터,강동환,개인,나윤주,성주읍 시장길 42-24,070-7789-0268,2,18
250,성주군,아동,지역아동센터,열린지역아동센터,윤순연,개인,윤순연,성주군 성주읍 성주읍3길12,054-932-8199,2,18
251,성주군,아동,지역아동센터,체플린지역아동센터,김미란,개인,김미란,성주군 초전면 대장1길 59,054-932-3509,2,19
252,칠곡군,아동,지역아동센터,왜관지역아동센터,김준원,개인,김준원,칠곡군 왜관읍 평장1길 10,054-971-0818,3,45
253,칠곡군,아동,지역아동센터,엘리트지역아동센터,박우정,개인,박우정,칠곡군 왜관읍 평장4길 22,070-7113-4034,2,28
254,칠곡군,아동,지역아동센터,그루터기지역아동센터,이지영,개인,이용태,칠곡군 왜관읍 석전로 65,054-973-5636,2,18
255,칠곡군,아동,지역아동센터,마중물지역아동센터,이선희,개인,김종관,칠곡군 왜관읍 구상길 195-1,054-971-8997,2,25
256,칠곡군,아동,지역아동센터,베다니지역아동센터,김성규,개인,김성규,칠곡군 왜관읍 중앙로 123-26,054-974-4638,2,25
257,칠곡군,아동,지역아동센터,위즈지역아동센터,전은경,개인,전은경,칠곡군 북삼읍 금오대로10길 34-8,054-973-2234,2,36
258,칠곡군,아동,지역아동센터,북삼지역아동센터,추수엽,개인,추수엽,칠곡군 북삼읍 평원1길 27-12,054-972-9106,2,27
259,칠곡군,아동,지역아동센터,약목지역아동센터,권기옥,개인,이상은,칠곡군 약목면 약목로7길 5-1,054-976-9990,2,24
260,칠곡군,아동,지역아동센터,행복한지역아동센터,신미라,개인,이찬원,칠곡군 약목면 관호9길 3,054-974-1699,2,28
261,칠곡군,아동,지역아동센터,석적지역아동센터,김명숙,개인,정명한,칠곡군 석적읍 유학로 86-8,054-974-8300,2,25
262,칠곡군,아동,지역아동센터,다온지역아동센터,김춘화,법인,이종춘,칠곡군 석적읍 장곡길 173,054-971-8228,2,28
263,칠곡군,아동,지역아동센터,나래지역아동센터,김미애,개인,최가환,칠곡군 석적읍 서중리4길 30-26,054-971-9985,2,18
264,예천군,아동,지역아동센터,참길지역아동센터,임정희,법인,김완기,예천군 예천읍 효자로 119-1,054-652-9788,3,36
265,예천군,아동,지역아동센터,금당실지역아동센터,이민옥,법인,김완기,예천군 용문면 금당실길 51-16,054-655-0691,2,29
266,예천군,아동,지역아동센터,로뎀지역아동센터,김인옥,사회적협동조합,김인옥,예천군 지보면 지보로 163,054-655-3721,2,29
267,예천군,아동,지역아동센터,예천지역아동센터,이지은,사회적협동조합,이동희,"예천군 예천읍 봉덕로 21, 2층",054-653-4284,2,29
268,예천군,아동,지역아동센터,보문지역아동센터,고예송,개인,권용숙,예천군 보문면 미호길 158,054-654-8280,2,19
269,예천군,아동,지역아동센터,은풍골지역아동센터,변은숙,개인,박영숙,예천군 은풍면 은풍로 88,070-8846-4326,2,19
270,봉화군,아동,지역아동센터,재산지역아동센터,김귀철,법인,김귀철,봉화군 재산면 재산로 605,054-672-7260,2,15
271,봉화군,아동,지역아동센터,석포행복지역아동센터,정정희,공립형,봉화군,봉화군 석포면 석포로1길 27-19,054-674-0098,4,29
272,봉화군,아동,지역아동센터,춘양봄볕지역아동센터,이화정,공립형,봉화군,봉화군 춘양면 춘양로 153-30,054-674-3031,4,26
273,울진군,아동,지역아동센터,울진지역아동센터,임순남,개인,임순남,"울진군 울진읍 읍내8길 26, 2층",054-783-7941,3,31
274,울릉군,아동,지역아동센터,선원자성지역아동센터,이희숙,법인,이지은,울릉군 서면 남양4길 39,054-791-4943,2,12
